date,total_tickers,insufficient_data,passed_roic,passed_fcf,passed_recovery,passed_all,with_signal_a,with_signal_b,with_signal_c
2010-01-31,903,880,0,0,0,0,0,0,0
2011-01-31,903,653,11,6,3,3,1,6,0
2012-01-31,903,456,56,34,23,23,17,29,0
2013-01-31,903,363,107,79,53,53,30,51,0
2014-01-31,903,328,155,118,79,79,36,81,5
2015-01-31,903,299,190,138,82,82,55,76,2
2016-01-31,903,278,203,148,102,102,67,102,1
2017-01-31,903,262,213,156,94,94,76,77,7
2018-01-31,903,249,225,166,101,101,56,101,3
2019-01-31,903,229,237,179,126,126,51,145,4
2020-01-31,903,141,260,201,138,138,87,142,4
2021-01-31,903,113,277,222,137,137,54,136,8
